frame,second,behaviours
149,5.96,"listening, listening, listening, listening, listening, listening, listening, listening"
150,6.0,"listening, listening, listening, listening, listening, listening, listening, listening"
151,6.04,"listening, listening, listening, listening, listening, listening, listening, listening"
152,6.08,"listening, listening, listening, listening, listening, listening, listening, listening"
153,6.12,"listening, listening, listening, listening, listening, listening, listening, listening"
154,6.16,"listening, listening, listening, listening, listening, listening, listening"
155,6.2,"listening, listening, listening, listening, listening, listening, listening"
156,6.24,"listening, listening, listening, listening, listening, listening, listening"
157,6.28,"listening, listening, listening, listening, listening, listening, listening, reading"
158,6.32,"listening, listening, listening, listening, listening, listening, listening, reading"
159,6.36,"listening, listening, listening, listening, listening, listening, listening, reading"
160,6.4,"listening, listening, listening, listening, listening, listening, listening, listening"
161,6.44,"listening, listening, listening, listening, listening, listening, listening"
162,6.48,"listening, listening, listening, listening, listening, listening, listening"
163,6.52,"listening, listening, listening, listening, listening, listening, listening, listening"
164,6.56,"listening, listening, listening, listening, listening, listening, listening, listening"
165,6.6,"listening, listening, listening, listening, listening, listening, listening, listening"
166,6.64,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
167,6.68,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
168,6.72,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
169,6.76,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
170,6.8,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
171,6.84,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
172,6.88,"listening, listening, listening, listening, listening, listening, listening, listening"
173,6.92,"listening, listening, listening, listening, listening, listening, listening, listening"
174,6.96,"listening, listening, listening, listening, listening, listening, listening, listening"
175,7.0,"listening, listening, listening, listening, listening, listening, listening, listening"
176,7.04,"listening, listening, listening, listening, listening, listening, listening, listening"
177,7.08,"listening, listening, listening, listening, listening, listening, listening, listening"
178,7.12,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
179,7.16,"listening, listening, listening, listening, listening, listening, listening"
180,7.2,"listening, listening, listening, listening, listening, listening, listening, listening"
181,7.24,"listening, listening, listening, listening, listening, listening, listening, listening"
182,7.28,"listening, listening, listening, listening, listening, listening, listening, listening"
183,7.32,"listening, listening, listening, listening, listening, listening, listening"
184,7.36,"listening, listening, listening, listening, listening, listening, listening"
185,7.4,"listening, listening, listening, listening, listening, listening, listening"
186,7.44,"listening, listening, listening, listening, listening, listening, listening"
187,7.48,"listening, listening, listening, listening, listening, listening, listening"
188,7.52,"listening, listening, listening, listening, listening, listening, listening, listening"
189,7.56,"listening, listening, listening, listening, listening, listening, listening"
190,7.6,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
191,7.64,"listening, listening, listening, listening, listening, listening, listening, listening"
192,7.68,"listening, listening, listening, listening, listening, listening, listening, listening, reading"
193,7.72,"listening, listening, listening, listening, listening, listening, listening, listening"
194,7.76,"listening, listening, listening, listening, listening, listening, listening, listening, reading"
195,7.8,"listening, listening, listening, listening, listening, listening, listening, reading"
196,7.84,"listening, listening, listening, listening, listening, listening, listening, listening"
197,7.88,"listening, listening, listening, listening, listening, listening, listening, listening"
198,7.92,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
199,7.96,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
200,8.0,"listening, listening, listening, listening, listening, listening, listening, listening"
201,8.04,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
202,8.08,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
